ligand,receptor,source,target,ligand_expr,receptor_expr,score,pvalue
VCAM1,ITGA4,9,8,3.107142857142857,0.6337209302325582,1.96906146179402,0.001996007984031936
VCAM1,ITGA4,1,2,4.038,0.48187633262260127,1.945816631130064,0.001996007984031936
VEGFA,KDR,9,9,2.3285714285714287,0.8285714285714286,1.929387755102041,0.001996007984031936
VCAM1,ITGA4,6,1,1.4533333333333334,1.306,1.8980533333333334,0.001996007984031936
VEGFA,KDR,6,4,1.6888888888888889,1.0699481865284974,1.8070236039147958,0.001996007984031936
EGF,EGFR,4,4,1.9378238341968912,0.927461139896373,1.797256302182609,0.001996007984031936
VEGFA,FLT1,6,9,1.6888888888888889,1.042857142857143,1.7612698412698413,0.015968063872255488
VEGFA,KDR,5,8,1.1313868613138687,1.5406976744186047,1.743125106094042,0.001996007984031936
CD34,SELL,8,9,2.197674418604651,0.7857142857142857,1.7267441860465116,0.001996007984031936
ICAM1,ITGAL,9,9,1.9071428571428573,0.9,1.7164285714285716,0.001996007984031936
VCAM1,ITGA4,6,3,1.4533333333333334,1.1666666666666667,1.6955555555555557,0.001996007984031936
ICAM1,ITGAL,9,1,1.9071428571428573,0.88,1.6782857142857144,0.001996007984031936
PDGFB,PDGFRB,1,8,0.468,3.5813953488372094,1.6760930232558142,0.001996007984031936
TGFB1,TGFBR2,3,4,0.23464912280701755,6.935233160621761,1.6273463776020363,0.001996007984031936
VCAM1,ITGA4,8,9,2.052325581395349,0.7928571428571428,1.6272009966777408,0.02594810379241517
CD34,SELL,8,1,2.197674418604651,0.74,1.6262790697674419,0.001996007984031936
VCAM1,ITGA4,1,4,4.038,0.4015544041450777,1.6214766839378238,0.001996007984031936
PDGFB,PDGFRB,8,4,0.9302325581395349,1.7279792746113989,1.6074225810338594,0.001996007984031936
C3,C3AR1,9,3,3.5357142857142856,0.45394736842105265,1.6050281954887218,0.001996007984031936
VCAM1,ITGA4,3,1,1.2258771929824561,1.306,1.6009956140350878,0.001996007984031936
VEGFA,FLT1,7,8,0.5906735751295337,2.7093023255813953,1.6003132907579225,0.0499001996007984
TGFB1,TGFBR2,9,9,0.3,5.264285714285714,1.5792857142857142,0.001996007984031936
C3,C3AR1,1,8,5.276,0.29651162790697677,1.5643953488372093,0.001996007984031936
VEGFA,FLT1,4,7,4.139896373056994,0.37305699481865284,1.5444172997932828,0.027944111776447105
VEGFA,FLT1,7,4,0.5906735751295337,2.6139896373056994,1.5440146044189105,0.021956087824351298
VCAM1,ITGA4,5,1,1.1642335766423357,1.306,1.5204890510948905,0.015968063872255488
TGFB1,TGFBR2,8,9,0.28488372093023256,5.264285714285714,1.4997093023255814,0.001996007984031936
TGFB1,TGFBR2,7,8,0.11398963730569948,13.081395348837209,1.4911435112664175,0.001996007984031936
VEGFA,FLT1,6,5,1.6888888888888889,0.8759124087591241,1.4793187347931873,0.043912175648702596
CXCL9,CXCR3,9,3,9.228571428571428,0.1600877192982456,1.4773809523809522,0.001996007984031936
VEGFA,KDR,8,6,7.843023255813954,0.18666666666666668,1.464031007751938,0.001996007984031936
VCAM1,ITGA4,3,3,1.2258771929824561,1.1666666666666667,1.4301900584795322,0.029940119760479042
TGFB1,TGFBR2,4,4,0.20207253886010362,6.935233160621761,1.4014201723536202,0.001996007984031936
VEGFA,KDR,6,9,1.6888888888888889,0.8285714285714286,1.3993650793650794,0.001996007984031936
C3,C3AR1,9,4,3.5357142857142856,0.3911917098445596,1.383142116950407,0.001996007984031936
VEGFA,FLT1,4,3,4.139896373056994,0.32894736842105265,1.3618080174529588,0.03992015968063872
VEGFA,KDR,4,5,4.139896373056994,0.3284671532846715,1.3598199765515675,0.001996007984031936
VEGFA,FLT1,1,4,0.52,2.6139896373056994,1.3592746113989638,0.03992015968063872
VEGFA,KDR,2,8,0.8805970149253731,1.5406976744186047,1.3567337729954878,0.001996007984031936
PDGFB,PDGFRB,4,4,0.7849740932642487,1.7279792746113989,1.356418964267497,0.001996007984031936
PDGFB,PDGFRB,5,8,0.36496350364963503,3.5813953488372094,1.3070785944661347,0.001996007984031936
C3,C3AR1,1,5,5.276,0.24087591240875914,1.2708613138686131,0.001996007984031936
CD34,SELL,4,3,1.349740932642487,0.9407894736842105,1.2698220616307607,0.001996007984031936
EGF,EGFR,5,4,1.3576642335766422,0.927461139896373,1.2591808176695283,0.001996007984031936
VEGFA,KDR,8,3,7.843023255813954,0.1600877192982456,1.2555717054263567,0.001996007984031936
TGFB1,TGFBR2,3,9,0.23464912280701755,5.264285714285714,1.2352600250626566,0.001996007984031936
VEGFA,KDR,5,4,1.1313868613138687,1.0699481865284974,1.2105253205249424,0.001996007984031936
ICAM1,ITGAL,9,3,1.9071428571428573,0.6337719298245614,1.2086936090225564,0.001996007984031936
SELE,CD44,9,9,0.4714285714285714,2.5214285714285714,1.188673469387755,0.001996007984031936
CXCL9,CXCR3,9,4,9.228571428571428,0.12694300518134716,1.171502590673575,0.001996007984031936
CCL5,CCR5,1,9,3.202,0.36428571428571427,1.1664428571428571,0.001996007984031936
ANGPT1,TEK,4,8,0.7746113989637305,1.494186046511628,1.1574135438004578,0.001996007984031936
