ligand,receptor,source,target,ligand_expr_ctrl,receptor_expr_ctrl,score_ctrl,key,score_rej,ligand_expr_rej,receptor_expr_rej,log2FC
B2M,CD8A,3,2,4.5,0.0,0.0,B2M_CD8A_3_2,0.5268797932251036,8.484581497797357,0.06209850107066381,9.044065631741043
CXCL12,CXCR4,10,6,1.75,0.0,0.0,CXCL12_CXCR4_10_6,0.5105105105105106,3.238095238095238,0.15765765765765766,8.998620074526562
VCAM1,ITGA4,10,2,0.14583333333333334,0.0,0.0,VCAM1_ITGA4_10_2,0.506984806770674,1.0476190476190477,0.48394004282655245,8.988641538102108
VCAM1,ITGA4,2,2,0.5,0.0,0.0,VCAM1_ITGA4_2_2,0.5046655264593813,1.0428265524625269,0.48394004282655245,8.982039616447596
VEGFA,FLT1,2,6,0.0,0.6666666666666666,0.0,VEGFA_FLT1_2_6,0.49397148754750464,0.8843683083511777,0.5585585585585585,8.951201612020377
PDGFB,PDGFRB,3,10,0.0,0.3541666666666667,0.0,PDGFB_PDGFRB_3_10,0.4809104258443466,0.28854625550660795,1.6666666666666667,8.91262120303613
VEGFA,KDR,4,3,5.036363636363636,0.0,0.0,VEGFA_KDR_4_3,0.4746297967199193,2.9518072289156625,0.16079295154185022,8.893695288023801
VEGFA,KDR,2,4,0.0,1.4727272727272727,0.0,VEGFA_KDR_2_4,0.47414927375454713,0.8843683083511777,0.536144578313253,8.892237014109853
B2M,CD8A,10,6,0.8958333333333334,0.0,0.0,B2M_CD8A_10_6,0.45645645645645644,5.333333333333333,0.08558558558558559,8.837490615042357
CCL5,CCR5,3,4,0.0,0.14545454545454545,0.0,CCL5_CCR5_3_4,0.4294358048935832,2.458149779735683,0.1746987951807229,8.749654280201613
PDGFB,PDGFRB,2,10,0.0,0.3541666666666667,0.0,PDGFB_PDGFRB_2_10,0.41399000713775874,0.24839400428265523,1.6666666666666667,8.696932786893628
B2M,CD8A,6,6,3.6666666666666665,0.0,0.0,B2M_CD8A_6_6,0.411736060384709,4.8108108108108105,0.08558558558558559,8.689075680616583
CCL5,CCR5,3,3,0.0,0.0,0.0,CCL5_CCR5_3_3,0.40608201207087274,2.458149779735683,0.16519823788546256,8.669175663599747
PDGFB,PDGFRB,4,2,0.9181818181818182,0.0,0.0,PDGFB_PDGFRB_4_2,0.4038853486752148,0.608433734939759,0.6638115631691649,8.661369627859365
CXCL10,CXCR3,4,3,0.32272727272727275,0.0,0.0,CXCL10_CXCR3_4_3,0.38357836632875114,2.3855421686746987,0.16079295154185022,8.587133798869434
VEGFA,FLT1,2,5,0.0,0.8876404494382022,0.0,VEGFA_FLT1_2_5,0.37901498929336186,0.8843683083511777,0.42857142857142855,8.569912515048596
TGFB1,TGFBR2,2,4,0.0,8.754545454545454,0.0,TGFB1_TGFBR2_2_4,0.3681277572818039,0.08137044967880086,4.524096385542169,8.52797641770538
CCL5,CCR5,3,5,0.0,0.10486891385767791,0.0,CCL5_CCR5_3_5,0.35116425424795467,2.458149779735683,0.14285714285714285,8.460104668403279
VEGFA,KDR,4,2,5.036363636363636,0.0,0.0,VEGFA_KDR_4_2,0.3476432496581615,2.9518072289156625,0.11777301927194861,8.445607738575765
VCAM1,ITGA4,5,2,1.1760299625468165,0.0,0.0,VCAM1_ITGA4_5_2,0.3456714591618232,0.7142857142857143,0.48394004282655245,8.437425256714619
C3,C3AR1,3,2,3.0,0.0,0.0,C3_C3AR1_3_2,0.34502730900206585,1.6784140969162995,0.20556745182012848,8.434742091819135
CXCL9,CXCR3,4,3,0.17272727272727273,0.0,0.0,CXCL9_CXCR3_4_3,0.34192718008598266,2.1265060240963853,0.16079295154185022,8.421758445232994
B2M,CD8A,10,2,0.8958333333333334,0.0,0.0,B2M_CD8A_10_2,0.33119200571020696,5.333333333333333,0.06209850107066381,8.375873544649322
C3,C3AR1,4,3,1.7954545454545454,0.0,0.0,C3_C3AR1_4_3,0.3241070006899846,0.7108433734939759,0.45594713656387664,8.344770812403977
C3,C3AR1,3,10,3.0,0.0,0.0,C3_C3AR1_3_10,0.3196979232221523,1.6784140969162995,0.19047619047619047,8.325071200969928
CXCL12,CXCR4,3,2,1.5,0.0,0.0,CXCL12_CXCR4_3_2,0.3085209746342292,1.8237885462555066,0.16916488222698073,8.273893366501767
B2M,CD8A,2,6,1.0,0.0,0.0,B2M_CD8A_2_6,0.3040395856241681,3.5524625267665955,0.08558558558558559,8.252852666148204
B2M,CD8A,6,2,3.6666666666666665,0.0,0.0,B2M_CD8A_6_2,0.29874414028589613,4.8108108108108105,0.06209850107066381,8.227587740367985
PDGFB,PDGFRB,3,4,0.0,2.272727272727273,0.0,PDGFB_PDGFRB_3_4,0.29028448596146705,0.28854625550660795,1.0060240963855422,8.186285054237926
VEGFA,FLT1,2,3,0.0,1.0,0.0,VEGFA_FLT1_2_3,0.28829627673122094,0.8843683083511777,0.32599118942731276,8.176403945548392
CXCL12,CXCR4,3,6,1.5,0.0,0.0,CXCL12_CXCR4_3_6,0.2875342302655078,1.8237885462555066,0.15765765765765766,8.172598672960403
TGFB1,TGFBR2,6,4,0.0,8.754545454545454,0.0,TGFB1_TGFBR2_6_4,0.28530337566482145,0.06306306306306306,4.524096385542169,8.161400870332693
TGFB1,TGFBR2,10,6,0.0,2.3333333333333335,0.0,TGFB1_TGFBR2_10_6,0.2728442728442728,0.19047619047619047,1.4324324324324325,8.09721189805585
CCL2,CCR2,3,5,0.0,0.2209737827715356,0.0,CCL2_CCR2_3_5,0.2718691000629327,0.6343612334801763,0.42857142857142855,8.092065221580004
B2M,CD8A,0,3,0.3804347826086957,0.0,0.0,B2M_CD8A_0_3,0.27045069467976957,0.7626373626373626,0.35462555066079293,8.08454636570225
VEGFA,KDR,6,3,2.6666666666666665,0.0,0.0,VEGFA_KDR_6_3,0.269436837718776,1.6756756756756757,0.16079295154185022,8.079147872365242
CXCL12,CXCR4,5,2,9.48314606741573,0.0,0.0,CXCL12_CXCR4_5_2,0.2658305292138268,1.5714285714285714,0.16916488222698073,8.059779930606233
TGFB1,TGFBR2,10,3,0.0,7.0,0.0,TGFB1_TGFBR2_10_3,0.26138032305433184,0.19047619047619047,1.3722466960352422,8.03551572033908
VEGFA,FLT1,2,2,0.0,1.0,0.0,VEGFA_FLT1_2_2,0.25943995341351467,0.8843683083511777,0.29336188436830835,8.02480697533692
PDGFB,PDGFRB,2,4,0.0,2.272727272727273,0.0,PDGFB_PDGFRB_2_4,0.24989035370604473,0.24839400428265523,1.0060240963855422,7.97091319249477
CXCL12,CXCR4,5,6,9.48314606741573,0.0,0.0,CXCL12_CXCR4_5_6,0.24774774774774774,1.5714285714285714,0.15765765765765766,7.958539652806427
PDGFB,PDGFRB,4,6,0.9181818181818182,0.0,0.0,PDGFB_PDGFRB_4_6,0.23844024747639206,0.608433734939759,0.3918918918918919,7.903521864839226
CD34,SELL,4,2,1.5136363636363637,0.0,0.0,CD34_SELL_4_2,0.23281133097701298,1.1325301204819278,0.20556745182012848,7.869201037301396
TNF,TNFRSF1A,10,4,0.0,2.5681818181818183,0.0,TNF_TNFRSF1A_10_4,0.23235800344234078,0.14285714285714285,1.6265060240963856,7.866401137807736
ICAM1,ITGAL,4,2,0.8272727272727273,0.0,0.0,ICAM1_ITGAL_4_2,0.2290962565465287,0.963855421686747,0.23768736616702354,7.846093702212475
B2M,CD8A,2,2,1.0,0.0,0.0,B2M_CD8A_2_2,0.22060259802190849,3.5524625267665955,0.06209850107066381,7.791830985111971
CCL5,CCR5,4,3,0.3,0.0,0.0,CCL5_CCR5_4_3,0.21794225359588132,1.319277108433735,0.16519823788546256,7.774406596420697
BMP7,BMPR2,10,4,0.0,2.9045454545454548,0.0,BMP7_BMPR2_10_4,0.21772805507745266,0.14285714285714285,1.5240963855421688,7.772994468803853
TGFB1,TGFBR2,10,10,0.0,0.6458333333333334,0.0,TGFB1_TGFBR2_10_10,0.21768707482993194,0.19047619047619047,1.1428571428571428,7.772724144363736
